model,artifact,severity,n_records,feature_dim,features_path,feature_redundancy_mean,feature_redundancy_std,feature_redundancy_global,feature_redundancy_batches,centroid_inequity_mean,centroid_inequity_std,centroid_inequity_global,centroid_inequity_batches,prediction_inequity_norm,prediction_inequity_raw,prediction_entropy,mean_probability_mass,prediction_inequity_global_norm,prediction_inequity_global_raw,prediction_share_entropy_global,mean_probability_mass_global,prediction_binary_entropy_global,prediction_binary_entropy_norm_global
st-mem,physionet_em,physionet_em_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_em\physionet_em_Sev1\features.npy,45.58820789916492,11.634525525972494,32.867181227033235,1378,0.4971880039905775,0.0470191963190266,0.4811692833900451,1378,0.0837389859812598,0.2549452217321528,2.78957721599127,4.803685453995762,0.0837389859812598,0.2549452217321528,2.78957721599127,4.803685453995762,0.328436807719579,0.4738341537424386
st-mem,physionet_em,physionet_em_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_em\physionet_em_Sev2\features.npy,45.76381218455615,12.182201705322234,33.01236957952452,1378,0.4597239565693588,0.0436980722187361,0.4450094699859619,1378,0.0924196195124352,0.2813736052914706,2.7631488324319524,5.41142445922213,0.0924196195124352,0.2813736052914706,2.7631488324319524,5.41142445922213,0.3547675931894886,0.5118214473625884
st-mem,physionet_em,physionet_em_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_em\physionet_em_Sev3\features.npy,46.00545288289246,12.60363689499408,32.92861958467351,1378,0.4166496280575352,0.0410977427365297,0.4065770506858825,1378,0.0970401557616604,0.2954409315765511,2.749081506146872,6.09515548519283,0.0970401557616604,0.2954409315765511,2.749081506146872,6.09515548519283,0.3871983749835522,0.5586091754290361
st-mem,physionet_gn,physionet_gn_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_gn\physionet_gn_Sev1\features.npy,56.29018281320519,10.99136432585043,41.39654252539254,1378,0.6307026363682159,0.0401713597017133,0.6297460794448853,1378,0.1675267622667262,0.5100389866402057,2.5344834510832173,4.3367556084318775,0.1675267622667262,0.5100389866402057,2.5344834510832173,4.3367556084318775,0.2534699090647107,0.3656797808222346
st-mem,physionet_gn,physionet_gn_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_gn\physionet_gn_Sev2\features.npy,61.00853749083914,12.342113984938356,46.26101053263344,1378,0.5929999822109981,0.0236431013304567,0.5972772836685181,1378,0.1930355885215859,0.5877011805331147,2.4568212571903083,4.801506820871145,0.1930355885215859,0.5877011805331147,2.4568212571903083,4.801506820871145,0.2861345611945946,0.4128049124623813
st-mem,physionet_gn,physionet_gn_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_gn\physionet_gn_Sev3\features.npy,69.3546659757612,16.329385781105284,56.13397748894359,1378,0.5825969900378987,0.0172318318007142,0.5851395130157471,1378,0.2112932648006524,0.6432870856254231,2.401235352098,4.893852550795191,0.2112932648006524,0.6432870856254231,2.401235352098,4.893852550795191,0.2924413013082364,0.4219036151485078
st-mem,physionet_in,physionet_in_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_in\physionet_in_Sev1\features.npy,47.91381717411295,11.865816325116237,34.39248099513224,1378,0.4639770604442962,0.0378551458628459,0.4601389765739441,1378,0.1146440640770088,0.3490364254342553,2.695486012289168,5.427476258567347,0.1146440640770088,0.3490364254342553,2.695486012289168,5.427476258567347,0.35791710724959,0.5163652356783068
st-mem,physionet_in,physionet_in_Sev2,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_in\physionet_in_Sev2\features.npy,59.15567259964561,12.793600158900489,45.04623972651243,1378,0.4399948751199747,0.0316033221397071,0.4384117126464844,1378,0.1259356094609944,0.3834137887123718,2.661108649011051,6.697029726929996,0.1259356094609944,0.3834137887123718,2.661108649011051,6.697029726929996,0.3806251114340462,0.5491259607037076
st-mem,physionet_in,physionet_in_Sev3,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_in\physionet_in_Sev3\features.npy,72.16610736059002,15.273292484817873,59.56215119899703,1378,0.5257073376106074,0.0237120131574824,0.5267943143844604,1378,0.1748422192574829,0.5323110595907652,2.512211378132658,5.588873620658847,0.1748422192574829,0.5323110595907652,2.512211378132658,5.588873620658847,0.3285321852186965,0.4739717543874278
st-mem,physionet_ma,physionet_ma_Sev1,88167,768,C:\Users\simon\Desktop\bm\inference\st-mem\physionet_ma\physionet_ma_Sev1\features.npy,40.48049314923975,9.311267856916816,27.30737471826723,1378,0.5682250034653397,0.0531269328961708,0.5583221912384033,1378,0.0710604292936964,0.2163450714189179,2.828177366304505,4.0376083990956895,0.0710604292936964,0.2163450714189179,2.828177366304505,4.0376083990956895,0.2868795172843812,0.4138796569187965
